"","VTID","Positive","stg4_6","stg7_8","stg9_10","stg11_12","stg13_14","stg15_16"
"263","VT10920",1,0,0,0,1,1,0
"264","VT10921",0,0,0,0,0,0,0
"265","VT1093",1,1,1,1,1,1,1
"266","VT1095",1,0,0,1,1,1,1
"267","VT1096",0,0,0,0,0,0,0
"268","VT1097",1,0,0,0,1,1,1
"269","VT11034",0,0,0,0,0,0,0
"270","VT11035",0,0,0,0,0,0,0
"271","VT11037",0,0,0,0,0,0,0
"272","VT11039",1,0,0,0,0,1,0
"273","VT11041",0,0,0,0,0,0,0
"274","VT11042",1,0,1,1,1,1,1
"275","VT11048",0,0,0,0,0,0,1
"276","VT11049",0,0,0,0,0,0,0
"277","VT11064",0,0,0,0,0,0,0
"278","VT11075",0,0,0,0,0,0,0
"279","VT11122",0,0,0,0,0,0,0
"280","VT11123",1,0,0,0,1,1,1
"281","VT11125",1,0,0,1,1,1,1
"282","VT11126",1,0,0,0,0,1,1
"283","VT11127",0,0,0,0,1,0,1
"284","VT11128",0,0,0,0,0,0,0
"285","VT11130",0,0,0,0,0,0,0
"286","VT11131",1,0,0,0,0,0,1
"287","VT11132",1,0,0,0,1,1,1
"288","VT11134",1,0,0,0,0,1,1
"289","VT11138",0,0,0,0,0,1,0
"290","VT11139",1,0,0,0,0,1,1
"291","VT11140",1,0,0,0,0,0,1
"292","VT11142",1,0,0,1,1,0,0
"293","VT11144",1,1,1,1,1,1,0
"294","VT11145",1,1,1,1,1,1,1
"295","VT11146",1,0,0,0,1,1,1
"296","VT11147",0,0,0,0,0,1,0
"297","VT11148",1,0,0,1,1,1,1
"298","VT11152",1,0,0,1,1,1,0
"299","VT11153",0,0,0,0,0,1,1
"300","VT11155",1,0,0,0,0,0,1
"301","VT11156",0,0,0,0,1,1,1
"302","VT11157",1,0,0,0,1,1,1
"303","VT11158",1,0,0,0,0,1,1
"304","VT11160",1,0,0,0,1,1,1
"305","VT11162",1,0,0,0,0,0,1
"306","VT11163",1,0,0,0,0,0,1
"307","VT11164",0,0,0,0,0,0,0
"308","VT11166",0,0,0,0,0,0,0
"309","VT11167",0,0,0,0,0,0,0
"310","VT11168",1,0,0,0,0,1,1
"311","VT11169",1,0,0,0,0,1,1
"312","VT11170",0,0,0,0,0,0,0
"313","VT11171",0,0,0,0,0,1,1
"314","VT11172",1,0,0,0,0,1,1
"315","VT11173",1,0,0,1,1,1,1
"316","VT11174",1,0,0,0,0,1,1
"317","VT11177",0,0,0,0,0,0,0
"318","VT11311",0,0,0,0,0,0,0
"319","VT11312",0,0,0,0,0,0,0
"320","VT11319",0,0,0,0,0,0,0
"321","VT11911",0,0,0,0,0,0,0
"322","VT11912",0,0,0,0,0,0,0
"323","VT11917",0,0,0,0,0,0,0
"324","VT11923",0,0,0,0,0,0,0
"325","VT11932",0,0,0,0,0,0,0
"326","VT11939",0,0,0,0,0,0,0
"327","VT11940",0,0,0,0,0,0,0
"328","VT11963",1,0,0,0,0,0,1
"329","VT11964",0,0,0,0,0,0,0
"330","VT11965",0,0,0,0,0,0,0
"331","VT11969",1,0,0,0,1,1,0
"332","VT11974",1,0,0,0,1,0,0
"333","VT11979",0,0,0,0,0,0,0
"334","VT1205",0,0,0,0,0,0,1
"335","VT1206",1,0,0,0,0,1,1
"336","VT1207",0,0,0,0,0,1,0
"337","VT1208",1,1,0,1,1,1,1
"338","VT12087",0,0,0,0,0,0,0
"339","VT12088",0,0,0,0,0,0,0
"340","VT12089",0,0,0,0,0,0,0
"341","VT12093",0,0,0,0,0,0,0
"342","VT1211",1,0,0,0,1,1,1
"343","VT1214",1,1,0,0,1,1,1
"344","VT1215",1,0,0,0,0,1,1
"345","VT1217",0,0,0,0,0,0,0
"346","VT1218",0,0,0,0,0,0,0
